method,dimensionality,n_proc_query,IP
Rtree,2,92.000,10382031273590
Rtree,8,132.000,2042108055161
Rtree,32,40.248,453481644840
Rtree,128,9.021,151138990603
Rtree,512,1.222,39271195968
QSRP,2,1000,411251315274+2189457000
QSRP,8,1000,37899929+1499038674
QSRP,32,1000,11013175+625504839
QSRP,128,1000,2269041495+391160711
QSRP,512,1000,615254942+97815508
US,2,1000,1144585431270+2189457000
US,8,1000,10026725550+2189457000
US,32,1000,23444632350+2189457000
US,128,1000,17592490815+2189457000
US,512,1000,12639132000+2189457000
